time_s,target_x_mm,target_y_mm,target_z_mm,achieved_x_mm,achieved_y_mm,achieved_z_mm,position_error_mm,J1_deg,J2_deg,J3_deg,J4_deg,J5_deg,J6_deg,J1_us,J2_us,J3_us,J4_us,J5_us,J6_us
0,470,0,190,470,0,190,1.0247593068766e-13,0,67.8024037577836,-104.140797945353,36.338394187569,0,0,1290,2102.24002783543,2251.41331811372,1779.17329027829,1610,1540
0.04,469.959847032856,4.63770537590074,190.628215181563,469.959847032856,4.63770537590074,190.628215181563,6.35528743231302e-14,0.565393663406309,67.878357220066,-104.1034532792,36.2250960591335,0,0,1294.18810121042,2102.80264607456,2251.13669095703,1778.33404488247,1610,1540
0.08,469.83950778223,9.26936147465681,191.255810390586,469.83950778223,9.26936147465681,191.255810390586,2.8421709430404e-14,1.13022935152764,67.959524242354,-104.073939222803,36.1144149804492,0,0,1298.37206927058,2103.4038832767,2250.91806831706,1777.51418504036,1610,1540
0.12,469.639340656599,13.8889333956804,191.88216626637,469.639340656599,13.8889333956804,191.88216626637,6.35528743231302e-14,1.69394963973326,68.0458462931772,-104.052279484764,36.0064331915864,0,0,1302.54777510914,2104.04330587539,2250.75762581306,1776.71431993768,1610,1540
0.16,469.359941193776,18.4904149167058,192.506664671286,469.359941193776,18.4904149167058,192.506664671286,1.70530256582424e-13,2.25599820415748,68.1372601370401,-104.038489266883,35.9012291298427,0,0,1306.71109780857,2104.72044545956,2250.65547605098,1775.93503059143,1610,1540
0.2,469.002139358643,23.0678426466059,193.128689300805,469.002139358643,23.0678426466059,193.128689300805,5.69543329542959e-14,2.81582037072416,68.2336978285907,-104.032575265661,35.7988774370706,0,0,1310.85792867203,2105.4347987303,2250.61166863453,1775.17686990423,1610,1540
0.24,468.566995784283,27.6153099563712,193.747626291714,468.566995784284,27.6153099563712,193.747626291714,5.6843418860808e-14,3.37286366254304,68.3350867123318,-104.034535686916,35.6994489745845,0,0,1314.9841752781,2106.18582749875,2250.62619027345,1774.4403627747,1610,1540
0.28,468.055796980542,32.1269806172387,194.362864827931,468.055796980542,32.1269806172387,194.362864827931,5.6843418860808e-14,3.92657834513777,68.4413494279938,-104.044360273463,35.6030108454694,0,0,1319.08576551954,2106.97295872588,2250.69896498862,1773.72600626274,1610,1540
0.32,467.470049540532,36.5971020774325,194.973797743297,467.470049540532,36.5971020774325,194.973797743297,0,4.47641796896739,68.5524039216718,-104.062030345752,35.5096264240806,0,0,1323.15865162198,2107.79558460498,2250.82985441298,1773.034269808,1610,1540
0.36,466.81147338183,41.0200183120166,195.579822120785,466.81147338183,41.0200183120166,195.579822120785,6.35528743231302e-14,5.02183990870613,68.6681634627989,-104.087518855302,35.4193553925027,0,0,1327.19881413856,2108.6530626874,2251.01865818742,1772.36559550002,1610,1540
